Winner,Δ Rank,Δ SRS,Δ SOS,Δ WL%,Δ FG/G,Δ OREB/G,Δ TS%,Δ TOV%,Δ AST%
HIGHER,0.0,5.209999999999999,3.8000000000000003,-0.06259999999999999,-0.5999999999999979,-0.09999999999999964,0.0021974956026130643,0.8126975022885752,-0.6172839506172849
HIGHER,0.0,7.569999999999999,5.380000000000001,0.10249999999999992,2.8000000000000007,-2.5,0.056478635360342755,-2.607908138985163,-1.8785453947548731
HIGHER,-15.0,31.64,13.31,0.3307000000000001,3.8999999999999986,0.7000000000000011,0.05690824570274944,-3.71010414455999,4.102820627879659
HIGHER,-1.0,-3.3900000000000006,-6.86,0.15770000000000006,1.6999999999999993,-1.5,0.01570685587668441,-0.6481754278159038,-1.395677015213046
HIGHER,-7.0,2.389999999999999,4.449999999999999,-0.010700000000000043,-0.10000000000000142,2.8999999999999986,-0.010912183748996385,-1.808911929710007,7.769263516389955
HIGHER,-9.0,16.59,10.52,-0.018000000000000016,1.7999999999999972,1.8999999999999986,-0.0016942794533920669,-2.7047834132285242,-6.084024843713593
LOWER,-5.0,-3.01,-4.1,0.15539999999999998,-1.8000000000000007,-2.200000000000001,0.011260699145678288,0.57154089404556,-4.911173102334459
HIGHER,-11.0,15.440000000000001,5.889999999999999,0.18320000000000003,4.099999999999998,1.9000000000000004,0.02017636856153804,-2.716385033749429,4.423271425872208
HIGHER,-3.0,9.690000000000001,1.6100000000000003,0.04930000000000001,5.400000000000002,1.5999999999999996,0.02903110943776188,-3.1438648468468493,-4.255138839422223
HIGHER,-13.0,16.64,15.92,-0.034399999999999986,0.09999999999999787,-0.3000000000000007,-0.027011670081062422,-1.6740229507138036,0.6824712643678126
HIGHER,-7.0,14.18,7.010000000000001,0.12480000000000002,1.6999999999999993,0.6000000000000014,0.027660282089755683,-1.188958040619715,2.5817944262604158
HIGHER,-1.0,4.150000000000002,-2.119999999999999,0.12680000000000002,2.6999999999999993,-2.5,0.027799305327336987,-1.7307928981549043,-14.60374270615857
LOWER,-8.0,3.960000000000001,0.27999999999999936,0.17679999999999996,0.3999999999999986,-0.09999999999999964,0.0030762334696023963,0.47459153892637396,1.4772797146897858
HIGHER,-5.0,-1.25,2.41,0.09810000000000008,-2.1000000000000014,0.29999999999999893,-0.03438446961456021,1.2205787676072344,-1.0056117087544791
LOWER,-3.0,5.539999999999999,-0.5299999999999994,0.15570000000000006,1.1000000000000014,-0.3999999999999986,0.033676891619378146,-0.28830959969818437,9.614988312460625
HIGHER,-9.0,3.9800000000000004,1.6400000000000006,0.18920000000000003,1.8999999999999986,1.799999999999999,-0.0255230584097762,0.036146347661841105,-4.107748284131318
LOWER,-2.0,-1.4299999999999997,1.2400000000000002,0.020600000000000063,1.8000000000000007,2.5,-0.031758565975491204,1.5964032578940355,6.7812650560947105
LOWER,-12.0,20.990000000000002,11.8,0.17500000000000004,0.5,-0.10000000000000142,0.018946510805950556,-4.1641664899773065,-7.741837550778129
LOWER,-15.0,25.14,10.82,0.29569999999999996,3.200000000000003,3.6999999999999993,0.031653645573489264,-0.5297043516733027,14.670907722826456
HIGHER,-8.0,12.219999999999999,7.91,0.14860000000000007,-1.6999999999999993,-0.5,0.003916151873620155,-3.595095271633733,-6.661734427318841
HIGHER,-4.0,5.5600000000000005,6.65,-0.11760000000000004,1.3999999999999986,-1.0,0.014062014706528125,1.1777438345040316,-4.5681169114055535
HIGHER,-8.0,5.539999999999999,8.92,-0.1471,-1.1999999999999993,-0.29999999999999893,-0.010985227599941805,-4.698625559610205,-4.13533834586466
HIGHER,-7.0,0.02999999999999936,14.43,-0.2207,-2.5,-2.200000000000001,-0.037856565050544466,-0.5775788920054552,-9.23815449562094
LOWER,-8.0,4.789999999999999,1.75,0.15059999999999996,0.8999999999999986,0.0,-0.013799959105887827,-3.827364406734306,-5.357646771428691
HIGHER,-7.0,7.35,9.14,0.05889999999999995,-1.6000000000000014,1.0,-0.023397992367811482,3.1781990517058034,4.244702479226078
HIGHER,-8.0,2.5700000000000003,-4.1,0.2250000000000001,2.1999999999999993,0.5999999999999996,0.02139940569650267,-1.3277318187689566,-8.47878754160049
HIGHER,-14.0,19.6,7.7299999999999995,0.261,2.900000000000002,5.5,-0.0035680389759594755,-4.1498767567974095,5.56545971171807
LOWER,-3.0,3.0600000000000005,3.3900000000000006,-0.06030000000000002,0.8000000000000007,3.0999999999999996,-0.00948495066537347,3.380677996585293,6.6464931539505585
HIGHER,-7.0,4.91,5.41,0.020999999999999908,-3.1000000000000014,-1.0,-0.01713906193860082,-5.85146524792011,-2.7660352598233757
HIGHER,-4.0,6.949999999999999,-2.17,0.1884,3.1000000000000014,-0.5,0.02236644722288228,-5.481768945714018,-6.600730695106236
HIGHER,-6.0,4.74,2.5500000000000007,0.04700000000000004,2.0,1.299999999999999,0.006049810640477493,1.3945097859304578,4.638418510957834
HIGHER,-1.0,-0.120000000000001,-3.66,0.12960000000000005,4.0,1.0,0.0033391028327129924,2.0241008411858044,-2.591611511605315
HIGHER,-6.0,4.74,2.5500000000000007,0.04700000000000004,2.0,1.299999999999999,0.006049810640477493,1.3945097859304578,4.638418510957834
HIGHER,-6.0,4.74,2.5500000000000007,0.04700000000000004,2.0,1.299999999999999,0.006049810640477493,1.3945097859304578,4.638418510957834
LOWER,0.0,2.959999999999999,4.1899999999999995,-0.1412,-0.3000000000000007,-0.6999999999999993,-0.02092163878868325,0.6997865619313597,-10.780778262328077
HIGHER,-15.0,26.580000000000002,11.47,0.32110000000000005,7.900000000000002,0.0,0.07661945672667247,0.31841076360971243,14.44127777791094
LOWER,-1.0,-2.049999999999999,-5.109999999999999,0.1391,-0.8000000000000007,1.0999999999999996,-0.012860453889297241,-0.6795817567936382,-3.0833692019108625
LOWER,-7.0,3.869999999999999,4.07,-0.10730000000000006,0.0,1.5999999999999996,0.018935878028880415,2.2499887376403507,-5.898272827732988
LOWER,-9.0,15.790000000000001,11.329999999999998,0.0,2.8000000000000007,-1.4000000000000004,0.005626171376872491,-3.0264009016886106,14.243702629646641
LOWER,-5.0,6.049999999999999,6.610000000000001,-0.04379999999999995,1.1000000000000014,-0.5999999999999996,0.025332444576787072,3.2922249176659015,-0.7711540622541833
HIGHER,-11.0,19.64,9.77,0.1765000000000001,4.699999999999999,-0.10000000000000142,0.051534567394270425,-6.091380585756532,7.769024243638555
LOWER,-3.0,-0.8600000000000012,-0.5099999999999998,0.050799999999999956,-1.3000000000000007,0.09999999999999964,0.015944359678221054,-2.5166871381216716,7.426467538517002
HIGHER,-13.0,16.020000000000003,9.45,0.1552,0.0,0.8000000000000007,0.04738216715800192,-1.261347182526654,8.489326503146465
HIGHER,-8.0,7.380000000000003,-3.4899999999999993,0.3329000000000001,3.0,1.700000000000001,0.03756314805576977,-0.3492576820854367,-3.0319826170078628
HIGHER,-1.0,8.42,5.92,0.0695,0.5999999999999979,-4.5,0.014957737933329995,-4.91995453881044,9.61227189653107
LOWER,-8.0,10.799999999999999,4.91,0.06470000000000009,1.5,0.5,-0.0055350747837970005,-1.2777095784027708,1.258441558441561
LOWER,-8.0,4.690000000000001,1.9799999999999995,0.11760000000000004,0.5,-1.5,0.05410157934750792,-5.36074995055386,15.636560278041948
HIGHER,-11.0,12.870000000000001,4.83,0.13729999999999998,4.400000000000002,2.5,0.03743272227698313,2.150127621387167,1.0666843214150745
LOWER,-1.0,4.92,2.6700000000000004,-0.023499999999999965,0.10000000000000142,1.700000000000001,-0.024423398426557497,4.724255673756112,-9.078542376607672
LOWER,-10.0,15.540000000000001,3.8400000000000003,0.22110000000000007,5.100000000000001,1.1000000000000014,0.0466919423827189,1.6089770839239286,0.27542027093193866
HIGHER,-10.0,15.950000000000001,4.540000000000001,0.16490000000000005,3.900000000000002,1.4000000000000004,0.02964639534527247,-0.03711779766609702,-9.361888111888113
HIGHER,-8.0,19.41,19.45,-0.12729999999999997,1.5999999999999979,-2.799999999999999,0.0470873947279713,-1.6505355714759258,4.793926521930423
HIGHER,-4.0,5.459999999999999,-0.7400000000000002,0.23070000000000002,0.8999999999999986,-2.9000000000000004,0.06945443983854949,-0.1642459133282408,2.38763681288399
HIGHER,-8.0,13.91,4.82,0.0635,1.0,1.6999999999999993,-0.0033756108927307515,-4.20125790630185,-6.624949706710716
LOWER,-7.0,7.130000000000001,6.0,0.02859999999999996,-5.900000000000002,0.09999999999999964,-0.06511611556761743,-0.850139121154152,4.6160951287753775
HIGHER,-8.0,3.1799999999999997,3.9399999999999995,0.10399999999999998,-3.1999999999999993,1.4000000000000004,-0.02583992096353349,-0.5741624575117932,-6.052754374219276
HIGHER,-7.0,9.959999999999999,8.100000000000001,0.029400000000000093,1.1999999999999993,3.0999999999999996,-0.021683039316573116,-0.962434366528953,-0.5002535398057546
