ID,Year,Team,Rank,Wins,Losses,WL%,SOS,SRS,FG/G,OREB/G,Total Points,FGA,FTA,AST,TOV,TS%,TOV%,AST%,URL
1,2022,Indiana,12,21,14,0.6,8.08,12.71,25.8,9.1,2478,1988,666,511,414,0.5431732893767756,15.361553075279032,56.58914728682171,https://www.sports-reference.com/cbb/schools/indiana/men/2022.html
2,2022,Wyoming,12,25,9,0.7353,3.6,9.36,25.1,8.2,2466,1865,669,381,385,0.5710025192649674,15.13150654781556,44.66588511137163,https://www.sports-reference.com/cbb/schools/wyoming/men/2022.html
3,2022,Baylor,1,27,7,0.7941,8.76,21.73,28.3,12.9,2619,2083,604,542,421,0.5575282276605528,15.199872913176591,56.34095634095634,https://www.sports-reference.com/cbb/schools/baylor/men/2022.html
4,2022,Norfolk State,16,24,7,0.7742,-9.3,-3.91,26.3,10.3,2302,1766,655,386,435,0.5603154512705677,17.47549413466174,47.42014742014742,https://www.sports-reference.com/cbb/schools/norfolk-state/men/2022.html
5,2022,UNC,8,29,10,0.7436,8.89,15.5,27.6,11.5,3038,2409,730,582,455,0.5563694967401656,14.28481727991963,54.089219330855016,https://www.sports-reference.com/cbb/schools/north-carolina/men/2022.html
6,2022,Marquette,9,19,13,0.5938,8.96,11.36,26.9,7.8,2369,1915,502,511,396,0.5545723542521115,15.640551684913977,59.34959349593496,https://www.sports-reference.com/cbb/schools/marquette/men/2022.html
7,2022,Saint Mary's,5,26,8,0.7647,6.58,14.82,26.1,8.6,2370,1915,459,458,382,0.5597649459602448,15.286359125396164,51.57657657657658,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2022.html
8,2022,UCLA,4,27,8,0.7714,8.36,19.3,27.6,11.3,2639,2148,632,486,313,0.5438814878322232,11.427194532470757,50.25853154084798,https://www.sports-reference.com/cbb/schools/ucla/men/2022.html
9,2022,Akron,13,24,10,0.7059,-3.93,0.91,24.3,9.8,2402,1799,701,396,388,0.5698857381467562,15.548360209021254,47.88391777509069,https://www.sports-reference.com/cbb/schools/akron/men/2022.html
10,2022,Texas,6,22,12,0.6471,8.87,17.01,24.5,10.4,2339,1886,603,450,393,0.5436197311418106,15.446170293044899,54.08653846153846,https://www.sports-reference.com/cbb/schools/texas/men/2022.html
