Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
FDU,84,Texas Southern,61,FDU
Purdue,58,FDU,63,FDU
Memphis,65,Florida Atlantic,66,Florida Atlantic
Duke,74,Oral Roberts,51,Duke
Tennessee,58,Louisiana,55,Tennessee
Kentucky,61,Providence,53,Kentucky
Kansas State,77,Montana State,65,Kansas State
Michigan State,72,USC,62,Michigan State
Marquette,78,Vermont,61,Marquette
FDU,70,Florida Atlantic,78,Florida Atlantic
Duke,52,Tennessee,65,Tennessee
Kentucky,69,Kansas State,75,Kansas State
Michigan State,69,Marquette,60,Michigan State
Florida Atlantic,62,Tennessee,55,Florida Atlantic
Kansas State,98,Michigan State,93,Kansas State
Florida Atlantic,79,Kansas State,76,Florida Atlantic
Florida Atlantic,60,Pitt,60,Pitt
Mississippi State,59,Houston,63,Houston
Northern Kentucky,52,Iowa,75,Iowa
Auburn,83,Miami (FL),63,Auburn
Drake,56,Indiana,71,Indiana
Kent State,60,Iowa State,41,Kent State
Pitt,59,Xavier,72,Xavier
Kennesaw State,67,Texas A&M,59,Kennesaw State
Penn State,76,Texas,81,Texas
Colgate,61,Houston,81,Houston
Auburn,64,Miami (FL),85,Miami (FL)
Indiana,69,Pitt,73,Pitt
Xavier,84,Penn State,66,Xavier
Texas,71,Houston,75,Houston
Miami (FL),89,Xavier,71,Miami (FL)
Texas,83,Miami (FL),88,Miami (FL)
Texas,81,Miami (FL),71,Texas
Southeast Missouri State,71,Texas A&M-Corpus Christi,75,Texas A&M-Corpus Christi
Alabama,96,Texas A&M-Corpus Christi,75,Alabama
Maryland,67,West Virginia,65,Maryland
San Diego State,63,College of Charleston,57,San Diego State
Virginia,67,Furman,68,Furman
Creighton,72,NC State,63,Creighton
Baylor,74,UCSB,56,Baylor
Missouri,76,Utah State,65,Missouri
Arizona,55,Princeton,59,Princeton
Alabama,73,Maryland,51,Alabama
San Diego State,75,Furman,52,San Diego State
Creighton,85,Baylor,76,Creighton
Missouri,63,Princeton,78,Princeton
Alabama,64,San Diego State,71,San Diego State
Creighton,86,Princeton,75,Creighton
San Diego State,57,Creighton,56,San Diego State
San Diego State,73,Nevada,73,Nevada
Arizona State,98,Kansas,96,Arizona State
Howard,68,Arkansas,73,Arkansas
Illinois,63,Saint Mary's,63,Saint Mary's
VCU,51,UConn,87,UConn
Iona,63,TCU,72,TCU
Arizona State,70,Gonzaga,82,Gonzaga
Grand Canyon,70,Northwestern,75,Northwestern
Boise State,67,UCLA,86,UCLA
UNC Asheville,53,Kansas,71,Kansas
Arkansas,72,Saint Mary's,55,Arkansas
UConn,70,TCU,81,TCU
Gonzaga,84,Northwestern,63,Gonzaga
UCLA,68,Arkansas,65,UCLA
UConn,88,Gonzaga,79,UConn
UCLA,76,UConn,82,UConn
Gonzaga,54,UConn,71,UConn
Florida Atlantic,71,San Diego State,72,San Diego State
Miami (FL),59,UConn,72,UConn
San Diego State,59,UConn,76,UConn
