Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
Texas Southern,60,Mount St. Mary's,52,Texas Southern
UCLA,86,Michigan State,80,UCLA
Michigan,82,Texas Southern,66,Michigan
LSU,76,St. Bonaventure,61,LSU
Colorado,96,Georgetown,73,Colorado
Florida State,64,UNC Greensboro,54,Florida State
BYU,62,UCLA,73,UCLA
Texas,52,Abilene Christian,53,Abilene Christian
UConn,54,Maryland,63,Maryland
Alabama,68,Iona,55,Alabama
Michigan,86,LSU,78,Michigan
Colorado,53,Florida State,71,Florida State
UCLA,67,Abilene Christian,47,UCLA
Maryland,77,Alabama,96,Alabama
Michigan,76,Florida State,58,Michigan
UCLA,88,Alabama,78,UCLA
Michigan,49,UCLA,51,UCLA
UCLA,78,Illinois,78,Illinois
Drexel,49,Loyola (IL),71,Loyola (IL)
Georgia Tech,60,Tennessee,56,Georgia Tech
Oregon State,70,Oklahoma State,69,Oregon State
Liberty,60,San Diego State,62,San Diego State
Syracuse,78,West Virginia,84,West Virginia
Morehead State,67,Clemson,56,Morehead State
Rutgers,60,Houston,87,Houston
Cleveland State,56,Illinois,58,Illinois
Loyola (IL),71,Oregon State,80,Oregon State
Oklahoma State,70,Syracuse,75,Syracuse
West Virginia,72,Rutgers,60,West Virginia
Houston,63,Loyola (IL),58,Houston
Oregon State,65,Syracuse,46,Oregon State
Houston,62,Oregon State,61,Houston
Houston,67,Houston,79,Houston
Baylor,79,Hartford,55,Baylor
UNC,62,Wisconsin,85,Wisconsin
Villanova,73,Winthrop,63,Villanova
Purdue,69,North Texas,78,North Texas
Texas Tech,65,Utah State,53,Texas Tech
Arkansas,85,Colgate,68,Arkansas
Florida,75,Virginia Tech,70,Florida
Ohio State,72,Oral Roberts,75,Oral Roberts
Baylor,76,Wisconsin,63,Baylor
Villanova,84,North Texas,61,Villanova
Texas Tech,66,Arkansas,68,Arkansas
Florida,78,Oral Roberts,81,Oral Roberts
Baylor,62,Villanova,51,Baylor
Arkansas,72,Oral Roberts,70,Arkansas
Baylor,81,Arkansas,72,Baylor
Baylor,53,Appalachian State,53,Appalachian State
Norfolk State,54,Drake,53,Norfolk State
Wichita State,52,Gonzaga,98,Gonzaga
Norfolk State,55,Oklahoma,72,Oklahoma
Missouri,68,Creighton,63,Missouri
UCSB,62,Virginia,58,UCSB
Ohio,62,USC,72,USC
Drake,56,Kansas,93,Kansas
Eastern Washington,84,Oregon,86,Oregon
VCU,86,Iowa,86,Iowa
Grand Canyon,74,Gonzaga,87,Gonzaga
Oklahoma,71,Creighton,72,Creighton
Ohio,58,USC,85,USC
Kansas,51,Oregon,95,Oregon
Iowa,80,Gonzaga,83,Gonzaga
Creighton,65,USC,82,USC
Oregon,68,Gonzaga,85,Gonzaga
USC,66,Gonzaga,90,Gonzaga
UCLA,90,Gonzaga,93,Gonzaga
Houston,59,Baylor,78,Baylor
Gonzaga,70,Baylor,86,Baylor
