ID,Year,Team,Rank,Wins,Losses,WL%,SOS,SRS,FG/G,OREB/G,Total Points,FGA,FTA,AST,TOV,TS%,TOV%,AST%,URL
1,2024,UConn,1,37,3,0.925,8.7,26.7,29.4,11.7,3256,2367,756,748,383,0.6030433687454624,12.42441543611969,63.55140186915888,https://www.sports-reference.com/cbb/schools/connecticut/men/2024.html
2,2024,Stetson,16,22,13,0.6286,-3.24,-5.09,27.1,9.7,2687,2053,619,465,369,0.577760002752262,13.695274573553645,48.94736842105263,https://www.sports-reference.com/cbb/schools/stetson/men/2024.html
3,2024,Florida Atlantic,8,25,9,0.7353,4.61,13.26,29.2,11.6,2789,2074,724,505,388,0.5828484970073896,13.954023649912248,50.90725806451613,https://www.sports-reference.com/cbb/schools/florida-atlantic/men/2024.html
4,2024,Northwestern,9,22,12,0.6471,8.5,12.77,26.2,8.5,2493,1960,573,530,300,0.5634866101296494,11.942104676528192,59.417040358744394,https://www.sports-reference.com/cbb/schools/northwestern/men/2024.html
5,2024,San Diego State,5,26,11,0.7027,8.37,14.68,25.8,11.7,2742,2167,784,481,413,0.5457889456838485,14.119851211640501,50.41928721174004,https://www.sports-reference.com/cbb/schools/san-diego-state/men/2024.html
6,2024,UAB,12,23,12,0.6571,3.73,5.14,26.8,12.9,2711,2085,834,473,406,0.5528230476843016,14.20593710198883,50.48025613660619,https://www.sports-reference.com/cbb/schools/alabama-birmingham/men/2024.html
7,2024,Auburn,4,27,8,0.7714,7.66,22.46,28.9,11.2,2909,2121,812,622,374,0.5868989783236761,13.112317163812808,61.584158415841586,https://www.sports-reference.com/cbb/schools/auburn/men/2024.html
8,2024,Yale,13,23,10,0.697,0.41,4.63,27.8,9.9,2465,1969,546,495,316,0.5578841592583875,12.513662067763857,53.86289445048966,https://www.sports-reference.com/cbb/schools/yale/men/2024.html
9,2024,BYU,6,23,11,0.6765,7.86,19.33,29.2,11.9,2768,2155,547,629,364,0.5777065384358513,13.189935064935066,63.40725806451613,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024.html
10,2024,Duquesne,11,25,12,0.6757,4.68,7.35,24.9,10.5,2611,2110,681,497,433,0.541782174930695,15.232319252525821,53.96308360477742,https://www.sports-reference.com/cbb/schools/duquesne/men/2024.html
11,2024,Illinois,3,29,9,0.7632,9.54,19.56,29.1,12.8,3168,2356,874,506,401,0.5779840616516333,12.764359108213753,45.833333333333336,https://www.sports-reference.com/cbb/schools/illinois/men/2024.html
12,2024,Morehead State,14,26,9,0.7429,-5.52,0.51,27.0,11.6,2635,2021,592,526,413,0.5774760243350807,15.327632790000298,55.720338983050844,https://www.sports-reference.com/cbb/schools/morehead-state/men/2024.html
13,2024,Washington State,7,25,10,0.7143,7.19,14.02,27.1,11.2,2574,2046,646,435,383,0.5523036253776435,14.115964676917635,45.88607594936709,https://www.sports-reference.com/cbb/schools/washington-state/men/2024.html
14,2024,Drake,10,28,7,0.8,1.84,11.08,28.3,7.9,2797,2079,681,559,337,0.587941008307268,12.409597737549896,56.350806451612904,https://www.sports-reference.com/cbb/schools/drake/men/2024.html
15,2024,Iowa State,2,29,8,0.7838,8.51,22.3,27.1,10.6,2787,2164,765,582,387,0.5572662560985364,13.402133259454219,58.08383233532934,https://www.sports-reference.com/cbb/schools/iowa-state/men/2024.html
16,2024,South Dakota State,15,22,13,0.6286,-2.7,0.52,27.9,8.3,2675,2029,593,450,395,0.5840815399664617,14.711797744439313,46.05936540429887,https://www.sports-reference.com/cbb/schools/south-dakota-state/men/2024.html
17,2024,Colorado State,10,25,11,0.6944,7.28,13.4,27.2,7.9,2707,2024,642,648,376,0.5868249453713017,14.016879902180072,66.12244897959184,https://www.sports-reference.com/cbb/schools/colorado-state/men/2024.html
18,2024,Virginia,10,23,11,0.6765,7.31,10.45,23.8,8.8,2140,1887,477,509,274,0.5102819426958147,11.556890268592252,62.995049504950494,https://www.sports-reference.com/cbb/schools/virginia/men/2024.html
19,2024,Grambling,16,21,15,0.5833,-5.48,-9.63,23.9,9.6,2436,1955,750,354,473,0.5330415754923413,17.15010877447426,41.16279069767442,https://www.sports-reference.com/cbb/schools/grambling/men/2024.html
20,2024,Montana State,16,17,18,0.4857,-4.46,-5.34,26.9,6.8,2635,2012,596,463,408,0.5793144083298157,15.211166785969937,49.20297555791711,https://www.sports-reference.com/cbb/schools/montana-state/men/2024.html
21,2024,Purdue,1,34,5,0.8718,11.6,24.93,28.4,12.2,3211,2272,938,720,442,0.5980139455883667,14.136219424828573,64.9233543733093,https://www.sports-reference.com/cbb/schools/purdue/men/2024.html
22,2024,Utah State,8,28,7,0.8,5.29,11.56,28.5,9.5,2788,2036,783,572,385,0.5855863424797944,13.921432497324192,57.25725725725726,https://www.sports-reference.com/cbb/schools/utah-state/men/2024.html
23,2024,TCU,9,21,13,0.6176,7.32,14.62,28.4,12.7,2687,2089,732,575,438,0.5572191714916137,15.373383688769708,59.64730290456431,https://www.sports-reference.com/cbb/schools/texas-christian/men/2024.html
24,2024,Gonzaga,5,27,8,0.7714,4.02,17.93,32.0,10.8,2959,2162,660,585,342,0.6032865764149404,12.238763240767248,52.232142857142854,https://www.sports-reference.com/cbb/schools/gonzaga/men/2024.html
25,2024,McNeese State,12,30,4,0.8824,-6.81,6.42,28.6,11.2,2719,1997,745,506,329,0.5847814865794907,12.397317054789358,52.00411099691675,https://www.sports-reference.com/cbb/schools/mcneese-state/men/2024.html
