Winner,Δ Rank,Δ SRS,Δ SOS,Δ WL%,Δ FG/G,Δ OREB/G,Δ TS%,Δ TOV%,Δ AST%
HIGHER,-15.0,48.86,18.27,0.3366,7.200000000000003,-3.3000000000000007,0.1380218977896987,-7.746160007427887,10.871007636285114
HIGHER,-1.0,4.559999999999999,-1.7400000000000002,0.08609999999999995,1.9000000000000021,4.800000000000001,-0.01746295933392905,0.18856956499844024,-5.125739706015864
HIGHER,-7.0,11.400000000000002,13.71,-0.08619999999999994,2.400000000000002,-0.09999999999999964,0.03767621071494248,2.5249138334477994,-2.0089439284485735
HIGHER,-9.0,20.25,14.120000000000001,-0.022300000000000098,1.0999999999999979,0.29999999999999893,0.015193802218139818,-3.8208040097096365,-1.5877780343261705
HIGHER,-5.0,9.81,8.86,-0.10840000000000005,0.8000000000000007,-2.700000000000001,0.034867023867693026,1.6099351056048903,7.493005541416217
HIGHER,-11.0,29.049999999999997,12.59,0.09609999999999996,10.600000000000001,5.200000000000001,0.0391319641483856,-3.6677717346465393,1.4229221709924218
LOWER,-3.0,-6.200000000000001,-10.34,0.12839999999999996,-1.8000000000000007,3.1999999999999993,-0.04459105027582294,-1.949340185167312,-3.973374257809297
HIGHER,-13.0,35.81,17.740000000000002,0.21740000000000004,6.199999999999999,-1.6999999999999993,0.13661614071916078,1.7066788139506102,6.164062058030709
HIGHER,-7.0,23.8,2.880000000000001,0.3063,5.100000000000001,-5.100000000000001,0.11823275415330647,-0.08357897570193451,17.4254973646252
HIGHER,-1.0,8.889999999999997,4.16,0.08819999999999995,1.7999999999999972,1.299999999999999,-0.016558167270886215,-3.443435661643214,-5.127025213306489
HIGHER,-3.0,10.389999999999997,-3.01,0.22860000000000003,7.300000000000001,3.8000000000000007,0.04927964328511558,-2.519426812974803,-0.5554931205548499
LOWER,-8.0,7.899999999999999,-5.249999999999998,0.20189999999999997,0.3999999999999986,0.1999999999999993,0.027269840570205095,1.579759654026148,-4.416442746156839
HIGHER,-3.0,19.21,-2.66,0.23770000000000002,5.800000000000004,-3.0,0.12364432118577717,0.9731381162842272,14.928871426635958
LOWER,-7.0,11.129999999999995,-8.589999999999998,0.29269999999999996,7.100000000000001,4.6,0.053944198205792326,-1.1266339692581866,-3.098491790952089
HIGHER,-9.0,24.869999999999997,-2.2399999999999984,0.35139999999999993,5.700000000000003,-0.10000000000000142,0.09241404358674465,-2.778060054913807,10.09986915980722
LOWER,0.0,13.149999999999999,-1.2599999999999998,0.08109999999999995,1.8000000000000043,-1.0,0.05360383282235248,-0.6000410613869231,10.48315321042594
HIGHER,-8.0,25.83,11.98,0.15150000000000008,2.8000000000000007,1.200000000000001,0.04967654148124839,-3.2102696110898847,0.40059454756380575
LOWER,-4.0,7.27,0.6600000000000001,0.16110000000000002,6.399999999999999,2.9000000000000004,0.031079315776432193,-2.7906697832119,-11.594045638317539
HIGHER,-8.0,9.08,14.86,-0.12740000000000007,-1.1999999999999993,-2.5,-0.02015594156201317,1.5100422756895746,-2.8789050417568802
LOWER,-7.0,14.669999999999998,14.290000000000001,-0.09940000000000004,-2.8999999999999986,-1.6000000000000014,-0.03745079700520815,0.0802391572518566,-5.389965226030796
HIGHER,-8.0,14.99,4.830000000000002,0.20409999999999995,7.0,2.6999999999999993,0.046188392268023626,0.8929298767850895,-6.737012761681086
HIGHER,-7.0,21.27,26.5,-0.1622,-2.299999999999997,-0.40000000000000036,-0.025220990719679648,0.9032169666418177,2.200488997555013
HIGHER,-8.0,16.36,17.12,-0.006400000000000072,-3.900000000000002,1.0,-0.05243287277123776,-1.183012459683784,-12.647073196954452
