Team 1,Team 1 Score,Team 2,Team 2 Score,Winner
UConn,140,Saint Francis (PA),52,UConn
Miami (FL),72,Quinnipiac,86,Quinnipiac
Duke,72,Belmont,58,Duke
Georgia,68,Mercer,63,Georgia
South Florida,79,Buffalo,102,Buffalo
Florida State,91,Little Rock,49,Florida State
California,62,Virginia,68,Virginia
South Carolina,63,North Carolina A&T,52,South Carolina
UConn,71,Quinnipiac,46,UConn
Duke,66,Georgia,40,Duke
Buffalo,86,Florida State,65,Buffalo
Virginia,56,South Carolina,66,South Carolina
UConn,72,Duke,59,UConn
Buffalo,63,South Carolina,79,South Carolina
UConn,94,South Carolina,65,UConn
UConn,95,Mississippi State,95,Mississippi State
Nicholls State,50,Syracuse,57,Syracuse
Oklahoma State,84,Maryland,77,Oklahoma State
Princeton,57,NC State,62,NC State
Elon,35,Iowa,70,Iowa
Creighton,76,UCLA,71,Creighton
American,60,Arizona State,73,Arizona State
Nebraska,62,Texas,83,Texas
Maine,54,Mississippi State,71,Mississippi State
Oklahoma State,56,Maryland,60,Maryland
NC State,74,Creighton,64,NC State
UCLA,86,Arizona State,65,UCLA
Texas,85,Mississippi State,71,Texas
NC State,57,UCLA,84,UCLA
Texas,75,Mississippi State,89,Mississippi State
UCLA,73,Mississippi State,74,Mississippi State
Louisville,74,Boise State,42,Louisville
Marquette,84,Dayton,65,Marquette
Missouri,70,Florida Gulf Coast,80,Florida Gulf Coast
Stanford,82,Gonzaga,68,Stanford
Oregon State,82,Western Kentucky,58,Oregon State
Tennessee,100,Liberty,60,Tennessee
Michigan,75,Northern Colorado,61,Michigan
Baylor,96,Grambling,46,Baylor
Louisville,90,Marquette,72,Louisville
Florida Gulf Coast,70,Stanford,90,Stanford
Oregon State,66,Tennessee,59,Oregon State
Michigan,58,Baylor,80,Baylor
Louisville,86,Stanford,59,Louisville
Oregon State,72,Baylor,67,Oregon State
Louisville,76,Oregon State,43,Louisville
Louisville,99,Notre Dame,99,Notre Dame
Cal State Northridge,81,South Dakota State,74,Cal State Northridge
Villanova,81,DePaul,90,DePaul
Oklahoma,79,Texas A&M,89,Texas A&M
Drake,76,LSU,69,Drake
Central Michigan,78,Ohio State,87,Ohio State
George Washington,45,Green Bay,77,Green Bay
Minnesota,89,Oregon,88,Minnesota
Seattle,45,Notre Dame,98,Notre Dame
Villanova,72,DePaul,79,DePaul
Texas A&M,80,Central Michigan,95,Central Michigan
Ohio State,78,Minnesota,73,Ohio State
Oregon,101,Notre Dame,90,Oregon
Texas A&M,84,Central Michigan,69,Texas A&M
Oregon,83,Notre Dame,84,Notre Dame
Oregon,74,Notre Dame,89,Notre Dame
UConn,89,Notre Dame,91,Notre Dame
Mississippi State,73,Louisville,63,Mississippi State
Notre Dame,61,Mississippi State,58,Notre Dame
