ID,Year,Team,Rank,Wins,Losses,WL%,SOS,SRS,FG/G,OREB/G,Total Points,FGA,FTA,AST,TOV,TS%,TOV%,AST%,URL
1,2022,Mount St. Mary's,16,16,13,0.5517,-10.95,-10.63,22.8,7.2,1851,1571,420,343,452,0.5271101492197289,20.472868919286167,51.8910741301059,https://www.sports-reference.com/cbb/schools/mount-st-marys/women/2022.html
2,2022,Longwood,16,22,12,0.6471,-8.2,-4.85,25.9,10.6,2431,2117,591,480,556,0.5113502507320028,18.956441098655322,54.54545454545455,https://www.sports-reference.com/cbb/schools/longwood/women/2022.html
3,2022,NC State,1,32,4,0.8889,16.28,35.12,29.4,10.2,2782,2270,525,516,427,0.5561775289884047,14.583333333333334,48.679245283018865,https://www.sports-reference.com/cbb/schools/north-carolina-state/women/2022.html
4,2022,Washington State,8,19,11,0.6333,14.64,14.7,22.4,9.1,1802,1749,359,392,408,0.47247975835885386,17.624494591699207,58.42026825633383,https://www.sports-reference.com/cbb/schools/washington-state/women/2022.html
5,2022,Kansas State,9,20,13,0.6061,14.1,19.55,23.9,8.0,2181,1940,551,545,439,0.4996700940232034,16.74652099609375,68.9873417721519,https://www.sports-reference.com/cbb/schools/kansas-state/women/2022.html
6,2022,Notre Dame,5,24,9,0.7273,14.05,25.05,28.8,10.2,2451,2092,500,563,474,0.530060553633218,17.013639626704954,59.13865546218487,https://www.sports-reference.com/cbb/schools/notre-dame/women/2022.html
7,2022,UMass,12,26,7,0.7879,2.89,12.98,27.3,12.1,2367,2055,529,481,428,0.5173182501661013,15.759860959731345,53.325942350332596,https://www.sports-reference.com/cbb/schools/massachusetts/women/2022.html
8,2022,Oklahoma,4,25,9,0.7353,15.23,20.97,28.8,9.5,2808,2243,705,641,633,0.54989816700611,19.866926118887704,65.40816326530613,https://www.sports-reference.com/cbb/schools/oklahoma/women/2022.html
9,2022,IU Indianapolis,13,24,5,0.8276,-3.08,10.96,25.9,9.0,2044,1653,416,432,419,0.556632753099061,18.580601674471406,57.4468085106383,https://www.sports-reference.com/cbb/schools/iupui/women/2022.html
10,2022,Kentucky,6,19,12,0.6129,13.58,20.09,27.4,10.5,2237,1968,512,484,420,0.5099668077035308,16.07175656646054,57.00824499411072,https://www.sports-reference.com/cbb/schools/kentucky/women/2022.html
11,2022,Princeton,11,25,5,0.8333,1.84,18.67,25.5,11.3,2049,1847,449,405,383,0.5010858081934499,15.777158957966023,53.010471204188484,https://www.sports-reference.com/cbb/schools/princeton/women/2022.html
12,2022,Indiana,3,24,9,0.7273,14.68,24.22,26.5,7.2,2353,1928,590,463,420,0.5378039861034924,16.106764841233318,52.853881278538815,https://www.sports-reference.com/cbb/schools/indiana/women/2022.html
13,2022,Charlotte,14,22,10,0.6875,2.45,6.7,22.5,9.2,2023,1833,593,370,447,0.48306525559715746,17.592053272043195,51.46036161335188,https://www.sports-reference.com/cbb/schools/charlotte/women/2022.html
